OID_;Join_Count;TARGET_FID;JOIN_FID;Site;Lat;Long;Source;Elevation;D_Treeline;Original_D_Temp;Min_DT;Max_DT;Mean_DT;mat_tstat;mat_sig;mat_sig_val;mat_npts;beyer_dt;chelsa_dt;ecoclimate_dt;paleopgem_dt;worldclim30s_dt;worldclim25m_dt;ggc_dt;MapName;Level_01;Level_02;Level_03;Countries;GMTED2010
152;0;152;-1;unknown;65;65;Bartlein et al. (2011);;;;-8,3819;-4,8181;-6,6;-3,7039;-1;-6,6;3;-6,2816681;-8,1916651;-10,8651432;-2,3159994;-10,7999996;-10,7999996;1,9270006;;;;;;8
153;0;153;-1;unknown;65;67;Bartlein et al. (2011);;;;-8,1004;-5,6996;-6,9;-5,7482;-1;-6,9;3;-6,02062;-7,6958338;-10,3494888;-2,0829998;-10,3000008;-10,3000008;2,2269997;;;;;;60
154;0;154;-1;unknown;57;69;Bartlein et al. (2011);;;;-10,533;-6,967;-8,75;-4,9074;-1;-8,75;2;-0,8346767;-1,020834;-1,1438904;2,3250003;-1,25;-1,25;4,0770001;;;;;;73
155;0;155;-1;unknown;59;69;Bartlein et al. (2011);;;;-9,3331;-7,3069;-8,32;-8,212;-1;-8,32;5;-1,8085591;-1,5258328;-3,2277915;1,3540004;-3,0799996;-3,0799996;3,6470001;;;;;;42
156;0;156;-1;unknown;57;71;Bartlein et al. (2011);;;;-10,2636;-7,6364;-8,95;-6,8133;-1;-8,95;4;-0,6632212;-1,2124994;-0,8389252;2,1330001;-0,7499998;-0,7499998;4,2770001;;;;;;95
157;0;157;-1;unknown;53;83;Bartlein et al. (2011);;;;-12,9143;-6,4857;-9,7;-3,0178;-1;-9,7;1;1,2057039;1,1083328;2,3460352;2,0249998;2,2999999;2,3999998;5,0270001;;;;;;240
158;0;158;-1;unknown;55;83;Bartlein et al. (2011);;;;-12,0408;-7,9592;-10;-4,9;-1;-10;1;1,0664234;0,895833;1,6813374;2,0159998;1,8000002;1,6999998;5,3270001;;;;;;128
159;0;159;-1;unknown;59;83;Bartlein et al. (2011);;;;-10,6976;-7,7024;-9,2;-6,1433;-1;-9,2;3;-0,5823162;-0,0624998;-1,5928133;0,4159996;-1,4999998;-1,4999998;4,5270001;;;;;;97
160;0;160;-1;unknown;57;85;Bartlein et al. (2011);;;;-5,3592;-3,7158;-4,5375;-5,5223;-1;-4,5375;8;-4,6434072;-4,2999996;-4,680735;-3,8465008;-4,7625002;-4,7625002;-0,1354999;;;;;;153
161;0;161;-1;unknown;53;87;Bartlein et al. (2011);;;;-4,6077;-1,6923;-3,15;-2,1609;-1;-3,15;2;-4,3916355;-5,0249992;-3,4450794;-4,633;-3,6500002;-3,35;-1,5229999;;;;;;355
162;1;162;33;unknown;49;89;Bartlein et al. (2011);;;;-6,6809;-3,4191;-5,05;-3,0964;-1;-5,05;2;-0,7954752;-3,679167;-1,0280058;-3,266;-1,2500002;-1,2500002;0,3770001;Altai-Sayan region;Eurasia;South Siberian Mountains;Altai-Sayan region;China, Kazakhstan, Mongolia, Russia;1878
163;1;163;140;unknown;51;99;Bartlein et al. (2011);;;;-3,9928;-0,7072;-2,35;-1,4305;0;0;2;-3,6201786;-5,6166667;-3,8203963;-5,5079998;-3,65;-3,8499998;-2,3229999;Mongolian Highlands;Eurasia;South Siberian Mountains;Mongolian Highlands;Mongolia, Russia;2135
164;0;164;-1;unknown;69;-161;Bartlein et al. (2011);;;;1,2229;3,4953;2,3591;2,0763;1;2,3591;2;-7,3952757;-0,4465996;-10,159845;-14,5920988;-9,2591001;-9,3591;-7,0320994;;;;;;319
165;1;165;121;unknown;67;-157;Bartlein et al. (2011);;;;-4,1465;-1,8741;-3,0103;-2,6494;-1;-3,0103;2;1,3253492;6,1602999;-2,6904017;-5,4316994;-2,1896998;-2,1896998;-1,6626994;Alaska-Yukon Ranges;North America;American Cordillera (North America);Alaska-Yukon Ranges;Canada, Russia, United States;617
166;1;166;121;unknown;67;-153;Bartlein et al. (2011);;;;-5,5388;-3,2664;-4,4026;-3,8747;-1;-4,4026;2;2,3149764;8,6526;-2,2292703;-2,597399;-1,9974001;-2,1973999;-0,2703999;Alaska-Yukon Ranges;North America;American Cordillera (North America);Alaska-Yukon Ranges;Canada, Russia, United States;421
167;1;167;121;unknown;67;-149;Bartlein et al. (2011);;;;12,2517;14,5241;13,3879;11,7826;1;13,3879;2;-15,6409518;-10,8545662;-21,2186915;-18,9788996;-21,3879;-21,2879001;-18,0608994;Alaska-Yukon Ranges;North America;American Cordillera (North America);Alaska-Yukon Ranges;Canada, Russia, United States;970
168;0;168;-1;unknown;67;-143;Bartlein et al. (2011);;;;6,6739;9,4589;8,0664;5,7929;1;8,0664;3;-10,6028361;-5,745567;-16,497415;-11,9573998;-16,6664004;-16,7663998;-12,7393999;;;;;;195
169;0;169;-1;unknown;69;-139;Bartlein et al. (2011);;;;-1,8431;-0,1555;-0,9993;-1,1843;0;0;3;-5,2459641;1,4118004;-7,987113;-3,6086998;-6,9007001;-6,9007001;-3,6736994;;;;;;203
170;1;170;86;unknown;69;19;Bartlein et al. (2011);;;;-10,6398;-4,1602;-7,4;-2,2841;-1;-7,4;1;-9,6359478;-4,5083338;-11,8294064;-12,4330002;-11,3000008;-11,4999996;2,7270001;North European Highlands;Eurasia;Europe;North European Highlands;Finland, Norway, Russia, Sweden;85
171;0;171;-1;unknown;67;65;Bartlein et al. (2011);;;;-8,4687;-5,1979;-6,8333;-4,1783;-1;-6,8333;3;-7,0299641;-10,2292;-11,7918984;-2,6247002;-11,6667;-11,6667;2,1603001;;;;;;180
172;0;172;-1;unknown;67;71;Bartlein et al. (2011);;;;-7,1815;-4,1519;-5,6667;-3,741;-1;-5,6667;3;-8,2109226;-10,3207992;-12,2025398;-3,7992996;-12,2332996;-12,2332996;0,9936997;;;;;;21
173;0;173;-1;unknown;69;85;Bartlein et al. (2011);;;;-6,7316;-3,735;-5,2333;-3,4929;-1;-5,2333;3;-6,4705336;-9,6583655;-9,7555878;-4,5836994;-9,6666996;-9,5667002;0,5603006;;;;;;98
174;0;174;-1;unknown;69;89;Bartlein et al. (2011);;;;-3,0052;-0,6948;-1,85;-1,6015;0;0;4;-8,5997366;-12,5374989;-11,2707542;-8,0409998;-10,8499998;-10,8499998;-2,8230003;;;;;;81
