OID_;Join_Count;TARGET_FID;JOIN_FID;Site;Lat;Long;Source;Elevation;D_Treeline;Original_D_Temp;Min_DT;Max_DT;Mean_DT;mat_tstat;mat_sig;mat_sig_val;mat_npts;beyer_dt;chelsa_dt;ecoclimate_dt;paleopgem_dt;worldclim30s_dt;worldclim25m_dt;ggc_dt;MapName;Level_01;Level_02;Level_03;Countries;GMTED2010
77;1;77;75;Muchoya Swamp;-1,28;29,8;Farrera et al. (1999);2260;;-4;-4;-4;-4;;;;;-0,8188171;1,083334;-0,0166101;1,8499994;-0,1999998;0;-0,6730003;Albertine Rift Mountains;Africa;East African Highlands;Albertine Rift Mountains;Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia;2421
78;1;78;75;unknown;-1;29;Bartlein et al. (2011);;;;-1,464;0,164;-0,65;-0,7985;0;0;2;-3,5985857;-2,3166672;-3,2356573;-1,2079998;-3,5499998;-3,35;-4,0230003;Albertine Rift Mountains;Africa;East African Highlands;Albertine Rift Mountains;Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia;1882
79;0;79;-1;unknown;1;35;Bartlein et al. (2011);;;;-1,5224;0,7224;-0,4;-0,3564;0;0;1;-4,3221823;-1,3208347;-2,7580219;-1,7170006;-3,0000001;-3,0000001;-4,2730003;;;;;;1868
80;0;80;-1;unknown;-1;37;Bartlein et al. (2011);;;;-4,0742;-2,4258;-3,25;-3,943;-1;-3,25;2;-0,3197403;0,5499992;0,0023746;0,8999996;0,05;-0,1500001;-1,4230003;;;;;;1544
81;0;81;-1;unknown;1;37;Bartlein et al. (2011);;;;0,8112;2,1888;1,5;2,1777;1;1,5;1;-6,3923674;-4,0916672;-4,7637615;-3,6919994;-4,7;-4,8;-6,1730003;;;;;;1223
82;1;82;47;Colgrain;11,43;76,63;Farrera et al. (1999);2330;;-5 to-2;-2;-5;-3,5;;;;;0,6596699;1,854166;0,0747585;1,3829994;-0,2;0,0999999;-1,1730003;Indian Subcontinent Ranges;Eurasia;South Asia;Indian Subcontinent Ranges;India;2270
83;1;83;47;Sandynallah;11,43;76,63;Farrera et al. (1999);2200;-800;-5;-5;-5;-5;;;;;2,1596699;3,354166;1,5747585;2,8829994;1,3;1,5999999;0,3269997;Indian Subcontinent Ranges;Eurasia;South Asia;Indian Subcontinent Ranges;India;2270
84;0;84;-1;Peasim sim;2,17;98,08;Farrera et al. (1999);1450;;-3;-3;-3;-3;;;;;0,0329132;-0,1333332;-0,090477;1,1749992;3;0;-1,6730003;;;;;;0
85;0;85;-1;Danau Di Atas;1,05;100,77;Farrera et al. (1999);1535;;3 min;3;3;3;;;;;-6,9095592;-6,8875008;-6,5829811;-4,9169998;-6,5;-6,5;-7,6730003;;;;;;29
86;0;86;-1;Wanda wand;-2,55;121,38;Farrera et al. (1999);440;;-3 to -2;-2;-3;-2,5;;;;;-0,8161011;-0,2416668;-1,4111881;0,75;-1,5;-1,2;-2,1730003;;;;;;530
