OID_,Site,Lat,Long,Source,Elevation,D_Treeline,Original_D_Temp,Min_DT,Max_DT,Mean_DT,mat_tstat,mat_sig,mat_sig_val,mat_npts,beyer_diff_min,beyer_diff_max,beyer_diff_mean,chelsa_diff_min,chelsa_diff_max,chelsa_diff_mean,ecoclimate_diff_min,ecoclimate_diff_max,ecoclimate_diff_mean,paleopgem_diff_min,paleopgem_diff_max,paleopgem_diff_mean,worldclim30s_diff_min,worldclim30s_diff_max,worldclim30s_diff_mean,worldclim25m_diff_min,worldclim25m_diff_max,worldclim25m_diff_mean,ggc_diff_min,ggc_diff_max,ggc_diff_mean,in_mr,MapName,Level_01,Level_02,Level_03,Countries,GMTED2010
13,unknown,-25,29,Bartlein et al. (2011),,,,-10.0327,-6.7673,-8.4,-5.1449,-1,-8.4,1,6.4353432,3.1699432,4.8026432,7.8993649,4.6339649,6.2666649,6.4762167,3.2108167,4.8435167,6.4747004,3.2093004,4.8420004,6.3327,3.0673,4.7,6.4327001,3.1673001,4.8000001,5.3596997,2.0942997,3.7269997,0,,,,,,987
14,LAC Lac Suprin,-22.3,166.98,Farrera et al. (1999),230,,-3,-3,-3,-3,,,,,-0.6318893,-0.6318893,-0.6318893,0.6374989,0.6374989,0.6374989,0.3570213,0.3570213,0.3570213,0.7000008,0.7000008,0.7000008,0.5,0.5,0.5,0.4000001,0.4000001,0.4000001,-1.6730003,-1.6730003,-1.6730003,0,,,,,,238
15,Lac Xere Wapo,-22.3,166.97,Farrera et al. (1999),235,,-3 to -1,-1,-3,-2,,,,,-2.6318893,-0.6318893,-1.6318893,-1.3374996,0.6625004,-0.3374996,-1.6429787,0.3570213,-0.6429787,-1.2999992,0.7000008,-0.2999992,-1.5,0.5,-0.5,-1.5999999,0.4000001,-0.5999999,-3.6730003,-1.6730003,-2.6730003,0,,,,,,168
16,unknown,-37,175,Bartlein et al. (2011),,,,-6.2862,-4.0138,-5.15,-4.5325,-1,-5.15,2,3.411323,1.138923,2.275123,3.2778668,1.0054668,2.1416668,3.1256423,0.8532423,1.9894423,3.8952002,1.6228002,2.7590002,3.1862001,0.9138001,2.0500001,3.1862001,0.9138001,2.0500001,1.6131997,-0.6592003,0.4769997,0,,,,,,81
17,Laguna Junin (A),-11,-76,Farrera et al. (1999),4100,,-7,-7,-7,-7,,,,,2.5004196,2.5004196,2.5004196,4.1291668,4.1291668,4.1291668,3.2475796,3.2475796,3.2475796,4.4910002,4.4910002,4.4910002,3.0999999,3.0999999,3.0999999,3,3,3,2.3270001,2.3270001,2.3270001,1,Central Andes,South America,Andes,Central Andes,"Argentina, Bolivia, Chile, Ecuador, Peru",4148
18,Katira,-9,-63,Farrera et al. (1999),80,,-4±2,-2,-6,-4,,,,,-2.1500816,1.8499184,-0.1500816,-1.5333328,2.4666672,0.4666672,-1.6962299,2.3037701,0.3037701,-1.9169998,2.0830002,0.0830002,-1.5999999,2.4000001,0.4000001,-1.5999999,2.4000001,0.4000001,-2.6730003,1.3269997,-0.6730003,0,,,,,,111
19,Lago Titicaca,-16,-69,Farrera et al. (1999),3810,,-5 to -7,-5,-7,-6,,,,,-0.7171097,1.2828903,0.2828903,1.9041667,3.9041667,2.9041667,0.9020596,2.9020596,1.9020596,2.309,4.309,3.309,0.5999999,2.5999999,1.5999999,0.6999998,2.6999998,1.6999998,0.3270001,2.3270001,1.3270001,0,,,,,,3815
20,Wasa Mayu,-17.53,-65.82,Farrera et al. (1999),2720,,-6 to -7,-6,-7,-6.5,,,,,1.3838348,2.3838348,1.8838348,2.8291664,3.8291664,3.3291664,2.0953526,3.0953526,2.5953526,2.9169998,3.9169998,3.4169998,2.2,3.2,2.7,2.0999999,3.0999999,2.5999999,1.3269997,2.3269997,1.8269997,0,,,,,,2757
21,Cala Conto,-17.57,-65.93,Farrera et al. (1999),2700,,-6 to -7,-6,-7,-6.5,,,,,1.3838348,2.3838348,1.8838348,2.8125,3.8125,3.3125,2.0953526,3.0953526,2.5953526,2.9169998,3.9169998,3.4169998,2.0999999,3.0999999,2.5999999,2.0999999,3.0999999,2.5999999,1.3269997,2.3269997,1.8269997,0,,,,,,2713
22,Lagoa dos Olhos,-19.53,-43.9,Farrera et al. (1999),730,,-6,-6,-6,-6,,,,,2.2536011,2.2536011,2.2536011,0.083333,0.083333,0.083333,2.5849915,2.5849915,2.5849915,3.1420002,3.1420002,3.1420002,2.5,2.5,2.5,2.5,2.5,2.5,1.3269997,1.3269997,1.3269997,0,,,,,,712
23,unknown,-7,-41,Bartlein et al. (2011),,,,-5.9612,-4.8388,-5.4,-9.6222,-1,-5.4,1,1.6453736,0.5229736,1.0841736,1.0987008,-0.0236992,0.5375008,2.5073979,1.3849979,1.9461979,1.9441998,0.8217998,1.3829998,2.7612,1.6388,2.2,2.4612,1.3388,1.9,1.2881997,0.1657997,0.7269997,0,,,,,,288
24,unknown,-5,15,Bartlein et al. (2011),,,,-3.7184,-1.8816,-2.8,-3.0488,-1,-2.8,1,-0.5384111,-2.3752111,-1.4568111,0.5142317,-1.3225683,-0.4041683,0.2466497,-1.5901503,-0.6717503,-0.1566,-1.9934,-1.075,0.1184001,-1.7183999,-0.7999999,0.2184,-1.6184,-0.7,-0.9546003,-2.7914003,-1.8730003,0,,,,,,608
25,Kashiru,-3.48,29.57,Farrera et al. (1999),2240,-1400 to -1900,"-2,5 to -3",-2.5,-3,-2.75,,,,,-2.3562164,-1.8562164,-2.1062164,-0.4624996,0.0375004,-0.2124996,-1.5038519,-1.0038519,-1.2538519,0.0499992,0.5499992,0.2999992,-1.2,-0.7,-0.95,-1.5,-1,-1.25,-2.1730003,-1.6730003,-1.9230003,1,Albertine Rift Mountains,Africa,East African Highlands,Albertine Rift Mountains,"Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia",2162
26,Kashiru-88,-3.48,29.57,Farrera et al. (1999),2240,-1000,-5 to-6,-5,-6,-5.5,,,,,0.1437836,1.1437836,0.6437836,2.0375004,3.0375004,2.5375004,0.9961481,1.9961481,1.4961481,2.5499992,3.5499992,3.0499992,1.3,2.3,1.8,1,2,1.5,0.3269997,1.3269997,0.8269997,1,Albertine Rift Mountains,Africa,East African Highlands,Albertine Rift Mountains,"Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia",2162
27,North Tanganyika (SD24),-4.5,29.33,Farrera et al. (1999),773,,-4 min,-4,-4,-4,,,,,-0.4494019,-0.4494019,-0.4494019,1.5083332,1.5083332,1.5083332,0.2181282,0.2181282,0.2181282,1.4659996,1.4659996,1.4659996,0.4000001,0.4000001,0.4000001,0.4000001,0.4000001,0.4000001,-0.6730003,-0.6730003,-0.6730003,0,,,,,,767
28,Kalambo Falls,-8.5,31.25,Farrera et al. (1999),1200,,-3 to-5,-3,-5,-4,,,,,-1.1731968,0.8268032,-0.1731968,0.6791668,2.6791668,1.6791668,-0.8576088,1.1423912,0.1423912,0.4830017,2.4830017,1.4830017,-1.3000002,0.6999998,-0.3000002,-0.9000001,1.0999999,0.0999999,-1.6730003,0.3269997,-0.6730003,0,,,,,,1394
29,South Tanganyika (MPU3+MPU11+MPU12) USEF,-8.5,30.75,Farrera et al. (1999),773,,-2 to-8,-2,-8,-5,,,,,-2.2227402,3.7772598,0.7772598,-0.1416664,5.8583336,2.8583336,-1.852829,4.147171,1.147171,-0.6580009,5.3419991,2.3419991,-1.9000001,4.0999999,1.0999999,-1.9000001,4.0999999,1.0999999,-2.6730003,3.3269997,0.3269997,0,,,,,,767
30,unknown,-5,29,Bartlein et al. (2011),,,,-2.2949,-0.3051,-1.3,-1.3067,0,0,1,-2.0534887,-4.0432887,-3.0483887,-0.621766,-2.611566,-1.616666,-1.380536,-3.370336,-2.375436,-0.2631006,-2.2529006,-1.2580006,-1.2051,-3.1949,-2.2,-1.3050999,-3.2948999,-2.2999999,-2.3781003,-4.3679003,-3.3730003,1,Albertine Rift Mountains,Africa,East African Highlands,Albertine Rift Mountains,"Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia",1953
31,unknown,-3,29,Bartlein et al. (2011),,,,-0.9699,0.5033,-0.2333,-0.3168,0,0,3,-3.4455863,-4.9187863,-4.1821863,-1.7717668,-3.2449668,-2.5083668,-2.9904977,-4.4636977,-3.7270977,-1.3471013,-2.8203013,-2.0837013,-3.4301001,-4.9033001,-4.1667001,-3.1300999,-4.6032999,-3.8666999,-3.7031003,-5.1763003,-4.4397003,1,Albertine Rift Mountains,Africa,East African Highlands,Albertine Rift Mountains,"Burundi, Democratic Republic of the Congo, Rwanda, South Sudan, Tanzania, Uganda, Zambia",1437
32,unknown,-11,31,Bartlein et al. (2011),,,,-2.3969,-0.2031,-1.3,-1.1852,0,0,1,-1.9545767,-4.1483767,-3.0514767,-0.5406,-2.7344,-1.6375,-1.2996694,-3.4934694,-2.3965694,-0.3871004,-2.5809004,-1.4840004,-1.3031,-3.4969,-2.4,-1.3031,-3.4969,-2.4,-2.2761003,-4.4699003,-3.3730003,0,,,,,,1228
33,unknown,-9,31,Bartlein et al. (2011),,,,-2.657,-0.843,-1.75,-1.9294,0,0,2,-1.6829849,-3.4969849,-2.5899849,0.2528328,-1.5611672,-0.6541672,-1.1851631,-2.9991631,-2.0921631,-0.0010009,-1.8150009,-0.9080009,-1.2430001,-3.0570001,-2.1500001,-1.143,-2.957,-2.05,-2.0160003,-3.8300003,-2.9230003,0,,,,,,1391
34,unknown,-19,47,Bartlein et al. (2011),,,,1.5931,4.8069,3.2,1.9914,0,0,1,-5.3331799,-8.5469799,-6.9400799,-5.447267,-8.661067,-7.054167,-5.2396321,-8.4534321,-6.8465321,-4.2101006,-7.4239006,-5.8170006,-5.0931,-8.3069,-6.7,-5.0931,-8.3069,-6.7,-6.2661003,-9.4799003,-7.8730003,0,,,,,,1414
35,unknown,-19,49,Bartlein et al. (2011),,,,-4.0429,0.2429,-1.9,-0.8866,0,0,1,1.3945407,-2.8912593,-0.7483593,0.459566,-3.826234,-1.683334,-0.0060044,-4.2918044,-2.1489044,1.5429,-2.7429,-0.6,-0.2571002,-4.5429002,-2.4000002,-0.2571002,-4.5429002,-2.4000002,-0.6301003,-4.9159003,-2.7730003,0,,,,,,13
36,(DPDR-1),-6.84,107.6,Farrera et al. (1999),660.5,,-3 to-2,-2,-3,-2.5,,,,,-0.4310665,0.5689335,0.0689335,-0.8666668,0.1333332,-0.3666668,-2.0166321,-1.0166321,-1.5166321,-0.1409988,0.8590012,0.3590012,-0.8,0.2,-0.3,-1.5999999,-0.5999999,-1.0999999,-2.6730003,-1.6730003,-2.1730003,1,Malay Archipelago,Eurasia,Southeast Asia,Malay Archipelago,"Brunei, Indonesia, Malaysia, Philippines, Papua New Guinea, Timor-Leste",1072
